id,text,aspect_category,aspect_span,opinion_span,stance,evidence_span
1,The student emergency fund provides small grants to homeless college students in crisis to help them stay on track for graduation,Policy & Governance,funds,provides small grants ,Hopeful,help them stay on track for graduation
2,Local businesses are dying because the filth and the addicts are driving customers away.,Employment &Economy,Local businesses,dying,Hate, driving customers away.
3,I’ve had to abandon my daily shortcuts because the streets are now blocked by encampments.,Public Space,streets,blocked ,Hate, the streets are now blocked by encampments.
4,"Poverty is the real root cause of the issue, and we need better economic protection for vulnerable people.",Employment &Economy,economy,better economic protection ,Hopeful,we need better economic protection for vulnerable people.
5,"Many unhoused people avoid shelters because they feel unsafe due to overcrowding, unpredictable behavior, and lack of privacy.", Shelter & Housing,shelter,avoid,Neutral,people avoid shelters because they feel unsafe 
6,"Many unhoused people avoid shelters because they feel unsafe due to overcrowding, unpredictable behavior, and lack of privacy",Public Space,overcrowding,unsafe,Neutral," they feel unsafe due to overcrowding, unpredictable behavior, and lack of privacy"
7,There should be legal right to shelter so no one has to freeze to death in the winter, Shelter & Housing,shelter,There should be legal right to shelter ,Hopeful,so no one has to freeze to death in the winter
8,"This is a failure of social policy, there isn’t enough affordable housing for people on low incomes.",Policy & Governance,social policy,"failure of social policy,",Neutral,there isn’t enough affordable housing for people on low incomes
9,We need mandatory treatment for those who are struggling with severe addiction or mental illness on the streets.,Addiction & Health,addiction or mental illness,mandatory treatment ,Hopeful,mandatory treatment for those who are struggling with severe addiction or mental illness
10,"Some cities criminalize the presence of homeless people in public spaces, treating them as nuisances rather than addressing their needs.",Public Space,presence of homeless people,criminalize,Hate,treating homeless individuals as nuisances instead of addressing their needs is unjust.
11,Many communities are quick to criminalize homeless people instead of addressing their basic needs and providing real assistance. This punitive approach only exacerbates their struggles and pushes them further into the shadows.,Public Safety,criminalize homeless people,exacerbates struggles,Hate,Punishing homeless individuals instead of offering support only worsens their situation.
12,"Many cities choose to criminalize homelessness instead of providing real solutions like affordable housing. This approach only exacerbates the suffering of those in need, pushing them deeper into despair. It's frustrating to see resources wasted on punitive measures rather than addressing the root causes.",Policy & Governance,criminalize homelessness,exacerbates suffering,Hate,punitive measures push homeless people deeper into despair
13,"Many local governments prioritize strict laws against loitering, which only criminalizes homelessness instead of addressing the root causes. These policies push vulnerable individuals further into despair and isolation. It's disheartening to see such lack of compassion in public policy.",Policy & Governance,laws against loitering,criminalizes homelessness,Hate,These policies push vulnerable individuals further into despair and isolation.
14,"Policies that criminalize the presence of homeless people in public spaces only serve to further marginalize them. Instead of addressing their needs, these rules push them into the shadows. This approach is not just ineffective; it's inhumane.",Policy & Governance,policies,further marginalize,Hate,criminalizing homelessness only pushes vulnerable individuals away instead of providing support
15,Many local governments choose to criminalize homelessness instead of providing adequate resources. This approach only worsens the plight of those in need. It is disheartening to see authorities prioritizing penalties over compassion.,Policy & Governance,criminalize homelessness,worsens the plight,Hate,criminalizing homelessness only exacerbates the difficulties faced by individuals without homes.
16,"Many local governments insist on strict regulations around public spaces to keep homeless people away, which only exacerbates their suffering. Instead of providing support, these policies prioritize aesthetics and safety for the housed community over compassion. It feels inhumane to treat vulnerable individuals as nuisances.",Public Space,strict regulations,exacerbates suffering of homeless people,Hate,policies prioritize aesthetics over compassion for vulnerable individuals
17,"The lack of adequate shelters for homeless people leads to a cycle of despair, as many are left to fend for themselves on the streets. This neglect often results in increased health problems and criminalization rather than support. It’s infuriating that society can turn a blind eye to their suffering.",Shelter & Housing,shelters,lack of adequate shelters,Hate,"The absence of sufficient shelters contributes to the suffering of homeless people, leading to dire consequences."
18,"The lack of affordable housing has made it nearly impossible for many homeless individuals to find stability. Instead of providing support, some areas impose fines on those who are simply trying to survive. This approach is not only misguided but also deeply unfair to those already suffering.",Shelter & Housing,affordable housing,impose fines,Hate,imposing fines on homeless individuals instead of addressing the lack of affordable housing is deeply unfair.
19,"If someone can keep a job, they have a much better chance of getting themselves out of homelessness.",Employment &Economy,job,better chance,Hopeful,much better chance of getting themselves out of homelessness.
20,"Homelessness is solvable, but it requires a level of leadership and investment that our elected officials are often hesitant to make.",Policy & Governance,investment,Homelessness is solvable,Hopeful,with leadership and investment homelessness can be solved
21,"Scammers, aggressive beggars, and those who appear dismissive of help have discouraged many people.",Empathy & Support,dismissive,discouraged,Hate,"Scammers, aggressive beggars have discouraged many people."
22,Homelessness is caused by social and economic policies that leave people financially vulnerable and without the support needed to live stable lives. It can be solved through policies that better protect vulnerable populations.,Policy & Governance,social and economic policies,financially vulnerable,Hopeful, It can be solved through policies that better protect vulnerable populations
23,"Instead of only talking about ending homelessness, we need to find practical alternatives for people who are sleeping in tents in public places.", Shelter & Housing,tents,need to find practical alternatives,Hopeful,we need to find practical alternatives for people who are sleeping in tents in public places.
24,"Homelessness is a social issue, not a personal failure, and everyone deserves dignity and respect regardless of their circumstances",Empathy & Support,dignity and respect ,"Homelessness is a social issue, not a personal failure",Hopeful,everyone deserves dignity and respect regardless of their circumstances
25,Punish the drug dealers who sell drugs to homeless people.,Addiction & Health,drugs,Punish the drug dealers,Hate,Punish the drug dealers who sell drugs to homeless people.
26,"Abandoning them further will only make their situation worse, and in turn, make all of our situations worse.",Community Impact & Social Cohesion,abandoning,make all of our situations worse.,Neutral,make all of our situations worse.
27,The homeless are automatically stereotyped as nothing but irresponsible drug addicts who chose to be homeless.,Empathy & Support,stereotyped ,irresponsible,Neutral, homeless people are irresponsible drug addicts who chose to be homeless
28,Homeless people are people that need a hand up not hand out.,Empathy & Support,hand up,need,Hopeful,need a hand up not hand out.
29,The  homeless people are alienated and thought of as somewhat dangerous outliers of society that are best avoided.,Public Safety,dangerous ,alienated,Neutral,It is best to avoid poor because they are dangerous to society
30,Don’t assume homeless people are lazy or uneducated; many once held powerful or skilled jobs,Employment &Economy,skilled jobs,don't assume,Neutral,homeless people once had skilled jobs
31,"Small acts of kindness toward the homeless can have a lasting impact, both for them and for us.",Empathy & Support,kindness,lasting impact,Hopeful,Small acts of kindness toward the homeless can have a lasting impact
32,Treat homeless people with dignity—learning their name can restore a sense of identity they may have lost.,Empathy & Support,dignity,Treat people with dignity,Hopeful,learning their name can restore a sense of identity they may have lost.
33,"Even if homeless people behaves unusually, treating them like a normal human being can make a real difference.",Empathy & Support,treating,can make real difference,Hopeful,treating them like a normal human being can make a real difference.
34,"The lack of available shelter options forces homeless individuals to sleep outdoors, exposing them to harsh weather conditions and danger. This situation highlights the failures of our system to provide adequate support for those in need. The absence of safe spaces only perpetuates their suffering, making it seem as if society has abandoned them.",Shelter & Housing,shelter options,forces homeless to sleep outdoors,Hate,The lack of shelter options exposes homeless individuals to danger and harsh conditions.
35,"The recent policies to clear out homeless encampments only serve to push vulnerable individuals further into the shadows, making their situation worse. Rather than addressing the root causes of homelessness, these strategies prioritize aesthetics over humanity. It's shameful that we are choosing to ignore people in need instead of providing them with real solutions.",Policy & Governance,policies,push vulnerable individuals further into the shadows,Hate,"These policies prioritize aesthetics over the humanity of homeless individuals, worsening their situation."
36,"The treatment of homeless individuals in some cities often reflects a lack of compassion, as they are frequently shooed away from public spaces instead of being offered help.",Public Space,homeless individuals,shooed away,Hate,This reflects an absence of compassion and support for those in need.
37,"Many local governments choose to sweep homeless encampments rather than address the root causes of homelessness. This approach neglects the human dignity of those affected and fails to provide necessary solutions. Instead of offering help, they simply push people out of sight.",Public Space,homeless encampments,neglect human dignity,Hate,sweeping encampments fails to address the root causes and only pushes people out of sight.
38,"The lack of adequate shelter options forces many homeless individuals to sleep in unsafe areas, which is completely unacceptable. It strips away their dignity and exposes them to harm every night.",Shelter & Housing,shelter options,forces people to sleep in unsafe areas,Hate,It is unacceptable that the lack of shelter options leads to dangerous living conditions for homeless individuals.
39,"The way some cities treat homeless people is appalling, as they prioritize clean streets over human dignity. The aspect of safe public spaces should never come at the expense of pushing vulnerable individuals into more dangerous situations. It's a shame that their needs are often ignored in favor of aesthetics.",Public Space,safe public spaces,come at the expense of pushing vulnerable individuals,Hate,the prioritization of aesthetics over human dignity is appalling.
40,"Many communities choose to ignore the presence of homeless people in public spaces, treating them as invisible. This neglect only exacerbates their struggles and deepens their isolation.",Public Space,public spaces,treating them as invisible,Hate,Ignoring homeless people in public spaces neglects their existence and worsens their situation.
41,"Many public spaces are designed to exclude homeless people, making it clear they are not welcome. This exclusionary approach reflects a broader disregard for their basic human rights and dignity. Rather than providing support, communities seem more focused on pushing them out of sight.",Public Space,public spaces,designed to exclude,Hate,The design of public spaces to push homeless individuals away demonstrates a lack of compassion and respect for their humanity.
42,"Many cities have adopted policies that criminalize sleeping in public spaces, making life even more difficult for homeless people.",Policy & Governance,policies,criminalize sleeping,Hate,These policies exacerbate the struggles faced by homeless individuals instead of providing them with help.
43,"Many communities implement zoning laws that effectively exclude homeless people from certain areas, treating them as unwelcome rather than in need of help. This kind of exclusionary practice fosters a hostile environment instead of promoting understanding and support. It is disheartening to see policies designed to push vulnerable individuals away rather than assist them.",Policy & Governance,zoning laws,exclude homeless people,Hate,"zoning laws treat homeless individuals as unwelcome, creating a hostile environment instead of providing support."
44,"Proposals to criminalize homelessness only serve to push individuals further into the shadows, making it harder for them to access essential services. The aspect of these policies is fundamentally flawed and lacks compassion. Instead of providing support, they create an environment of fear and isolation for those in need.",Policy & Governance,criminalize homelessness,flawed and lacks compassion,Hate,"These policies push individuals further into the shadows, making it harder for them to access essential services."
45,"The lack of adequate shelter for homeless people results in dangerous living conditions that nobody should endure. Many areas have policies that ignore the real needs of those affected, prioritizing punishment over support. It's infuriating to see communities shrug off their responsibility.",Shelter & Housing,lack of adequate shelter,dangerous living conditions,Hate,The lack of adequate shelter leads to dangerous situations that are unacceptable for homeless people.
46,"Many cities have strict regulations that criminalize the presence of homeless people in public spaces, making it difficult for them to find safe refuge. These policies often lead to harassment rather than providing real solutions. It's disheartening to see authorities choose punishment over compassion.",Public Space,regulations,criminalize presence,Hate,These regulations create a hostile environment for homeless individuals instead of addressing their needs.
47,"The way some local governments treat homeless individuals as nuisances rather than offering real solutions is deeply frustrating. The lack of compassion in their policies only exacerbates the issue. It feels like they prioritize cleanliness over humanity, which is unacceptable.",Policy & Governance,local governments,treat as nuisances,Hate,local governments prioritize cleanliness over providing real solutions for homeless individuals
48,"Some communities criminalize the presence of homeless individuals rather than addressing their needs. This approach only exacerbates the situation and creates an environment of fear and hostility. Instead of offering support, they choose to push people away.",Public Safety,criminalize the presence,exacerbates the situation,Hate,criminalizing homeless individuals creates fear and hostility instead of providing necessary support.
49,The shelter probably kicks people out during the day and doesn't provide support for people to find work so what are they supposed to do.,Empathy & Support,kicks people out,doesnt provide support,Neutral,doesn't provide support for people to find work so what are they supposed to do.
50,"The goal is too encourage homeless people to go somewhere more friendly to them. Some cities will even hook them up with a bus ticket to some other city where they have ""family"".",Empathy & Support,encourage,goal is to encourage,Hopeful,buy them ticket so they go to where they have family
51,I agree some Anti-Homeless laws do go too far into the realm of cruelty but there needs to be some boundaries for the protection of the public and to ensure both public and private property are not negatively impacted to the point where nobody benefits.,Public Safety,Protection,negatively affected,Neutral, ensure both public and private property are not negatively impacted to the point where nobody benefits.
