sample_id,text,aspect_target,aspect_category,opinion_span,stance,explanation
1,Canadian Cartoonist Fired After His Trump Cartoon Goes Viral | Crooks and Liars trump migrants immigration GOP,immigration,Policy & Governance,Fired After His Trump Cartoon Goes Viral,NEUTRAL,Canadian Cartoonist Fired After His Trump Cartoon Goes Viral
2,"As a student , I do not mind internships that are considered volunteer positions as much as internships that are paid in college credit . I am willing to work for free if I can gain valuable experience . I am not willing to actually pay tuition to work , especially since full - time college students can get sufficient credit hours in four years as long as they do not fail any classes , making any extra college credits basically useless . If I were to place any restrictions on unpaid internships , I would say it ' s valid to limit the number of hours employers can require a student to work unpaid . If it ' s the summer and you are only working at your internship part - time , you can get another job to pay your expenses . Of course it ' s not fair to those who have no support from their families , but internships that actually provide experience in the field serve a pretty big value to society , and I do not think playing fair is a good enough reason to get rid of them altogether .",unpaid internships,Employment & Economy,I am willing to work for free if I can gain valuable experience,HOPEFUL,I am willing to work for free if I can gain valuable experience
3,"We are not seeing a trend toward less violence , except in the most limited sense . There is a trend toward fewer engagements between larger organized units in classic military combat . There is a trend toward more engagements of what was once called small war , the ambush or raid sort of thing . That is not small , just diffuse , as in the violence tearing apart Mexico . This limited definition of violence also would not see the widespread US drone strikes as violent . Targeted assassinations are violent , and a policy of doing many of them is war , even if only one side is exposed to all the dying .",violence,Public Safety,tearing apart Mexico,NEUTRAL,violence tearing apart Mexico
4,"A big problem in the USA is the profit uber alles mentality . As soon as it became obvious that there is a huge amount of money in so - called rehabs , from insurance companies , from the government , from richies with kid addicts they want to get out of sight / out of mind , the sharks moved in . An addiction treatment model that works would be a first step , google Dr . Stanton Peele about attraction and harm reduction models . And get the courts out of the medical diagnosis biz ! Investigate ties between judges and investors in these rehabs . Make treatment programs accountable . The treatment should work if they are licensed , yes ? Currently the great majority are just cash cows for the owners .",rehabs,Addiction & Health,Currently the great majority are just cash cows for the owners,HATE,Currently the great majority are just cash cows for the owners
5,"Yes , America needs to get its house in order . Our population is growing by about million per decade ! Just about all of the population growth results from immigration . So let us reduce immigration and also focus on reducing consumption . Without reduced immigration all our environmental efforts to be more efficient and consume less are swamped and irrelevant .",immigration,Policy & Governance,let us reduce immigration,HATE,let us reduce immigration
6,"I am a NYC teacher who has taught in public , charter and now private school . My two children attend a gifted and talented public school and private school . I would never send my child to a charter school . Why ? Because they will never learn how to be creative , independent and self reliant . Some of my best students have defied me in their writing , their words and their actions , albeit respectfully . In a Charter environment that is grounds for reprimand , suspension and expulsion . Any parent reading this should support local public schools and fight for more G & T programs and AP programs . Supporting Public School is the only way to ensure that we have a strong active middle class . If you do not believe me name any politician , middle management executive or faculty member whose children attend a Charter School . I rest my case .",Charter School,Policy & Governance,"they will never learn how to be creative , independent and self reliant",HATE,"they will never learn how to be creative , independent and self reliant"
7,"It would appear that the Republicans are saying since the public school system has failed its students , the solution is to let these same students teach their own children , rather than send them to public school . With what training will they be able to accomplish this task ? As a college professor , I am routinely appalled at the writing ability and general innumeracy of my otherwise bright students . Public education needs stronger support ; a tax break for home schooling solves nothing . How can we train twenty parents to do a better job than one professional ?",Public education,Policy & Governance,Public education needs stronger support,HOPEFUL,Public education needs stronger support
8,Sanders is Jewish when he wants their vote a man that lost family in the Holocaust should understand and support Israel instead of punishing it . He wants Palestinian State when they have turned down every peace offer . Omar & Tlaib support BDS who want the DESTRUCTION of Israel .,Israel,Policy & Governance,punishing it,HATE,punishing it
9,"First these students in low income poverty neighborhoods destroyed their public schools because of violence and refusing to learn and disruptive behavior . They thought that Charter Schools were the solution and like taking residents from these neighborhoods and relocating them at taxpayer expense to better neighborhoods ( mostly white ) they would change their behavior . It did not work and it could not work and it will never work . Look at St . Louis , MO and their experiment with their dilapidated , violent housing projects when the Clinton administration gave them housing vouchers to move to white neighborhoods like Ferguson and see what happened . Good for the Charter Schools for expelling these trouble makers unless we are prepared to threaten the parent with loss of Food Stamps , Title Housing , Medicaid and other entitlements nothing is going to ever change . ' It ' s not the schools . It ' s not the teachers . It ' s the parent whose responsible because they never had to be responsible before in their life . Everyone is afraid or too embarrassed to say the truth .",Charter Schools,Policy & Governance,It did not work and it could not work and it will never work,HATE,It did not work and it could not work and it will never work
10,Saw a bit of ' s speech & I was proud to hear her plans for policy improvements in our justice system . Thanks ! SemST,policy improvements in our justice system,Policy & Governance,I was proud to hear her plans,HOPEFUL,I was proud to hear her plans
11,"Him . the States - Righters ought to love this , huh ? It certainly has precedents and does not seem prima facie unconstitutional . After all , would not a lot of Texans , Alaskans , and others enjoy giving total fealty to their state and avoiding any responsibility to a larger polity ? No ? When enough people realize that immigration is driven by forces much stronger and more pervasive than domestic policy , that it cannot be eliminated by laws , fences , patrols , or any other local action , and that it will continue to be the boon for us that it has always been , perhaps then a rational discussion will ensue .",domestic policy,Policy & Governance,"cannot be eliminated by laws , fences , patrols , or any other local action",NEUTRAL,"cannot be eliminated by laws , fences , patrols , or any other local action"
12,please read and educate yourselves on why we need a border wall . BorderWall,border wall,Policy & Governance,we need a border wall,NEUTRAL,we need a border wall
13,"Kendra , Joe , Uou should get out of politics . Seriously . Go write a book , becone a fishing guide , open a restaraunt . Anything not in politics . No lobbying . No campaigns . Support campaigns you like with your checkbooks or doing doors . Just get out . We cant afford your poison .",politics,Policy & Governance,We cant afford your poison,HATE,We cant afford your poison
14,"NewBluehand Bluehand The members of the NRA are not our opponents the vast majority of them support common - sense reforms , including universal background checks . The gun manufacturers who bankroll the NRA are our opponent . As president , Biden will defeat them . DemDebat",NRA,Policy & Governance,are not our opponents,HOPEFUL,The members of the NRA are not our opponents
15,"agree that there is no basis for research . Support for research that would now prove useful has been non existent if not banned by government in the past . Further , there is a naive population that suddenly has access and just like any other item , the naive will be the ones who take too much . I suspect if the data collection in medical facilities were honest , they would ask their clients whether they were new users and the results would show the vast majority of medical problems come from the first time users .",research,Policy & Governance,no basis for research,NEUTRAL,no basis for research
16,"I call BS . WHY I SUPPORT TRUMP : hes defending sovereignty , freedom of speech , right to bear arms , merit - based systems ( equality ) . Dems want porous borders , censorship , gun confiscation , socialism ( equity ) . Once you give up individual rights , you never get them back .",sovereignty,Policy & Governance,hes defending sovereignty,HOPEFUL,hes defending sovereignty
17,"There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens . In , Senator Jacob Howard , co - author of the citizenship clause of the Fourteenth Amendment wrote : "" Every Person born within the limits of the United States , and subject to their jurisdiction , is by virtue of natural law and national law a citizen of the United States . This will not , of course , include persons born in the United States who are foreigners , aliens , who belong to the families of ambassadors or foreign ministers accredited to the Government of the United States , but will include every other class of persons . only through expatriation , which could be accomplished through law alone , and not through any immigrant acting on his own outside the law - and certainly not by any act of birth alone - could an alien become a citizen . [ the ] Constitution as now amended , forever withholds the right of citizenship in the case of accidental birth of a child belonging to foreign parents within the limits of the country . """,birthright citizenship,Policy & Governance,There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens,NEUTRAL,There is nothing in the Fourteenth Amendment that permits birthright citizenship to non - citizens
18,"America ' s values are captive to its foreign policy , which nearly always turns a blind eye to abusive Israeli treatment of neighboring Palestinians . This nearly unquestioning support for Israel ' s policies combined with Western dependence on MidEast oil , leads us further and further away from morally based policy decisions . The Obama administration embraces assassination by robots - for - hire . It may be this is the only acceptable way to deal with Islamic fanatics . However , it compounds the offense taken by foreign populations due to collateral damage ( slaughtered families ) . The American public is then mystified as to why "" they "" hate us ! I feel we already have lost any good will that might have been generated by aspiring population during the era of the "" Arab Spring "" by our arrogant treatment of these peoples . Perhaps this is naive , but I have always believed that "" you reap what you sow "" . There is a darker future in the use of drones / robots . The inevitable course of action will be for government to turn robot spies and robot assassins on its own citizens . There will always be a "" security "" justification for police state behavior , and the terror we are currently turning loose abroad will return to our shores in due time .",Obama administration,Policy & Governance,embraces assassination by robots - for - hire,HATE,The Obama administration embraces assassination by robots - for - hire
19,"Just as some schizophrenics must be coerced into hospitals for the good of society , so must drug addicts . When people think they are just fine , but they are beating up their elderly parents ( who will not press charges , believing that home is the safest place for their wayward offspring ) , then they need to be forcibly removed and treated . They may have severe emotional problems , but they are still a menace . When people addicted to drugs follow old ladies home from the bank , push them down , and steal their pocketbooks , fracturing their hips and forearms in the bargain , they need to be removed from society . They may be addicts , but they are also criminals . Sorry I am for all suffering . But not that sorry for either the addled or the addicts who think they are right and refuse treatment .",drug addicts,Addiction & Health,they are still a menace,HATE,they are still a menace
20,"I did not realize that libraries were an American invention . I knew that Benjamin Franklin established the first on in this country ( almost enough to let me forgive him for floating the ghastly daylight savings time joke in Paris a few years later ) and Andrew Carnegie is the only philanthropist I have heard of to devote his fortune to the cause . I thought we had just done our fair share in keeping up with our responsibilities . I do not use the library often , I am too fond of instant gratification in book stores and too undisciplined to return books on time , but I am convinced they are a great value in our communities and support them willingly . I also have more internet bandwidth than most libraries . Books and DSL are expensive . I may be crazy enough to put those equal to or even ahead of paying for groceries but it ' s crucial that others in the community have access to what I take for granted without making the same commitment . Van",libraries,Community Impact & Social Cohesion,they are a great value in our communities and support them willingly,HOPEFUL,they are a great value in our communities and support them willingly
21,"The late Edward Abbey had a novel idea : allow anyone into a national park if travelling under their own steam - - walking , biking , skiing , etc . After all , getting out of the car is the best way to enjoy nature . As for the understandable complaints about children and the elderly not being able to travel in our parks under such a rule , Abbey replied that the kids will have their chances later ( and we will have preserved the parks for them ) , and the elderly had their chances when younger .",national park,Public Space,allow anyone into a national park if travelling under their own steam,NEUTRAL,allow anyone into a national park if travelling under their own steam
22,No simply answer . I serviced machines at a produce packing plant where all the workers were laid off after a fire . When the plant reopened the black local based work force was replaced with an immigrant crew provided by a labor contractor . The business owner had the opinion that the blacks did not work hard enough and were a lot of trouble . Five or six of the most reliable blacks were kept . Fifty years ago migrant crews were blacks who followed the harvest seasons up and down the East coast . With liberal welfare policies they could stay in one place . Farmers who still needed workers came to depend on contractors who would supply illegals . Forcing blacks off of welfare and busing them to farm jobs would probably not go over very well . Simply enforcing labor laws prohibiting hiring of illegals is not good enough . They have to be kept out of the country . By simply setting foot on American soil they gain many legal and Constitutional rights .,liberal welfare policies,Policy & Governance,With liberal welfare policies they could stay in one place,NEUTRAL,With liberal welfare policies they could stay in one place
23,"yes , let us hate cyclists : people who get off their ass and ride , staying fit as they get around the city . they do not pollute the air , they do not create noise , they do not create street after street clogged with cars dripping oil . I think the people who hate cyclists are the same ones who hate dogs : they have tiny little shards of coal where their heart once was . they can not move fast or laugh , and want no one else to , either . According to the DMV , in there were , automobile crashes in New York City , less than percent of those crashes involved a bicycle . cyclists are clearly the problem here .",cyclists,Community Impact & Social Cohesion,"people who get off their ass and ride , staying fit as they get around the city",HOPEFUL,"people who get off their ass and ride , staying fit as they get around the city"
24,"Exactly , neoliberals and third way centrists are just now claiming support because the public ' s view shifted . You know whose view point has always been in support of the american people ? EatTheRich",neoliberals and third way centrists,Policy & Governance,are just now claiming support,NEUTRAL,neoliberals and third way centrists are just now claiming support
25,"When I was a little girl , seven people were massacred at a bowling alley in Las Cruces , NM . The case remains unsolved and our town believed the robbers escaped back across the border to Mexico . Would a wall prevent this type of tragedy in the future ?",a wall,Public Safety,Would a wall prevent this type of tragedy in the future ?,NEUTRAL,Would a wall prevent this type of tragedy in the future ?
26,"ILLEGAL ALIENS come to US collect welfare and social security , its time to MakeAmericaGreatAgain SECURE OUR BORDERS SemST",welfare and social security,Policy & Governance,collect welfare and social security,HATE,ILLEGAL ALIENS come to US collect welfare and social security
27,"Yes . The US is on the wrong side . Dictators are terrible and evil people but they keep peace by consolidating power and preventing power vacuums that have allowed IS to run rampant across the Middle East . US foreign policy says that our nation has a fundamental right to protect freedom across the globe . This puts us at odds with Assad and IS . However , when determining what would be the most harmful , it is easy to see that Assad is the lesser of two evils . We have a duty to the persecuted . Persecution under IS > Persecution under Assad . Human life should not be summed down to such an ugly inequality , but for practical reasons , those are the facts .",US foreign policy,Policy & Governance,has a fundamental right to protect freedom across the globe,NEUTRAL,US foreign policy says that our nation has a fundamental right to protect freedom across the globe
28,Covid - is one of the underrated yet powerful plague of our time Apart from poverty . And they both share a lot in common SchoolsMustShutdown,poverty,Community Impact & Social Cohesion,underrated yet powerful plague,HATE,underrated yet powerful plague
29,"Sadly , there was not one mention of why this helps children in this piece . Many of the negatives identified are problems for all employees . Why the special measures for teachers ? I support due process , but then why do teachers in NY who have compromised their responsibilities sit in rubber rooms all day ? Why do administrators and school boards say the only way to let go of a teacher is if they harm a student or break the law ? Administrators quite frankly do not do their jobs well . If they did , then we ' d see a higher rate of tenure denial because if tenure makes it more challenging to correct a poor performer than the bar for achieving it should be much higher , and there is little evidence in the statistics of that - at least not in my communities .",due process,Policy & Governance,I support due process,HOPEFUL,I support due process
30,Growing up in a joint custody family my weekends and holidays were spent in a basement making machines out advanced builder Lego sets cycling down / up Chatterton Parkway in Hartsdale to replenish my bagel / Mountain Dew supply . Leaving kids to their own devices is a gamble . When you get down to it there is no correlation between screen addiction and chronological age .,Leaving kids to their own devices,Addiction & Health,is a gamble,NEUTRAL,Leaving kids to their own devices is a gamble
31,"DrFauci calls shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence "" of COVID - clinical trials underway . Drug is approved to treat conditions including lupus and rheumatoid arthritis .",hydroxychloriquine ( Plaquenil ),Addiction & Health,"shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence """,NEUTRAL,"shortages of hydroxychloriquine ( Plaquenil ) an "" unintended consequence """
32,"Why should not fat people be protected by law ? Such protections are given to social sub groups such as minorities , homosexuals , etc . Why not fat people ? Since we have gone down this legal self pity path ; Why not put every group with a perceived or real slight ? I can support it .",protections,Policy & Governance,I can support it,HOPEFUL,I can support it
