sample_id,source_dataset,source_id,original_text,cleaned_text,aspect_target,aspect_category,opinion_span,stance,explanation,mapped_stance,cost_usd,s1_attempts,s2_attempts,status,errors,timestamp
0,PStance,,Canadian Cartoonist Fired After His Trump Cartoon Goes Viral | Crooks and Liars trump migrants immigration GOP,Canadian Cartoonist Fired After His Trump Cartoon Goes Viral | Crooks and Liars trump migrants immigration GOP,immigration,Policy & Governance,Fired After His Trump Cartoon Goes Viral,NEUTRAL,Canadian Cartoonist Fired After His Trump Cartoon Goes Viral,HATE,0.000809,1,1,accepted,,2026-05-22T09:05:30.531492
1,VAST,,"As a student, I don't mind internships that are considered volunteer positions as much as internships that are paid in college credit. I'm willing to work for free if I can gain valuable experience. I'm not willing to actually pay tuition to work, especially since full-time college students can get sufficient credit hours in four years as long as they don't fail any classes, making any extra college credits basically useless. If I were to place any restrictions on unpaid internships, I would say it's valid to limit the number of hours employers can require a student to work unpaid. If it's the summer and you're only working at your internship part-time, you can get another job to pay your expenses. Of course it's not fair to those who have no support from their families, but internships that actually provide experience in the field serve a pretty big value to society, and I don't think playing fair is a good enough reason to get rid of them altogether.","As a student , I do not mind internships that are considered volunteer positions as much as internships that are paid in college credit . I am willing to work for free if I can gain valuable experience . I am not willing to actually pay tuition to work , especially since full - time college students can get sufficient credit hours in four years as long as they do not fail any classes , making any extra college credits basically useless . If I were to place any restrictions on unpaid internships , I would say it ' s valid to limit the number of hours employers can require a student to work unpaid . If it ' s the summer and you are only working at your internship part - time , you can get another job to pay your expenses . Of course it ' s not fair to those who have no support from their families , but internships that actually provide experience in the field serve a pretty big value to society , and I do not think playing fair is a good enough reason to get rid of them altogether .",unpaid internships,Employment & Economy,I am willing to work for free if I can gain valuable experience,HOPEFUL,I am willing to work for free if I can gain valuable experience,HOPEFUL,0.000970,1,1,accepted,,2026-05-22T09:05:33.516334
2,VAST,,"We are not seeing a trend toward less violence, except in the most limited sense. There is a trend toward fewer engagements between larger organized units in classic military combat. There is a trend toward more engagements of what was once called small war, the ambush or raid sort of thing. That is not small, just diffuse, as in the violence tearing apart Mexico. This limited definition of violence also would not see the widespread US drone strikes as violent. Targeted assassinations are violent, and a policy of doing many of them is war, even if only one side is exposed to all the dying.","We are not seeing a trend toward less violence , except in the most limited sense . There is a trend toward fewer engagements between larger organized units in classic military combat . There is a trend toward more engagements of what was once called small war , the ambush or raid sort of thing . That is not small , just diffuse , as in the violence tearing apart Mexico . This limited definition of violence also would not see the widespread US drone strikes as violent . Targeted assassinations are violent , and a policy of doing many of them is war , even if only one side is exposed to all the dying .",violence,Public Safety,tearing apart Mexico,NEUTRAL,violence tearing apart Mexico,HATE,0.000868,1,1,accepted,,2026-05-22T09:05:35.396380
3,VAST,,"A big problem in the USA is the profit uber alles mentality. As soon as it became obvious that there is a huge amount of money in so-called rehabs, from insurance companies, from the government, from richies with kid addicts they want to get out of sight/out of mind, the sharks moved in. An addiction treatment model that works would be a first step, google Dr. Stanton Peele about attraction and harm reduction models. And get the courts out of the medical diagnosis biz! Investigate ties between judges and investors in these rehabs. Make treatment programs accountable. The treatment should work if they are licensed, yes? Currently the great majority are just cash cows for the owners.","A big problem in the USA is the profit uber alles mentality . As soon as it became obvious that there is a huge amount of money in so - called rehabs , from insurance companies , from the government , from richies with kid addicts they want to get out of sight / out of mind , the sharks moved in . An addiction treatment model that works would be a first step , google Dr . Stanton Peele about attraction and harm reduction models . And get the courts out of the medical diagnosis biz ! Investigate ties between judges and investors in these rehabs . Make treatment programs accountable . The treatment should work if they are licensed , yes ? Currently the great majority are just cash cows for the owners .",rehabs,Addiction & Health,Currently the great majority are just cash cows for the owners,HATE,Currently the great majority are just cash cows for the owners,NEUTRAL,0.000916,1,1,accepted,,2026-05-22T09:05:38.295144
4,VAST,,"Yes, America needs to get its house in order. Our population is growing by about 30 million per decade!!! Just about all of the population growth results from immigration. So let's reduce immigration and also focus on reducing consumption. Without reduced immigration all our environmental efforts to be more efficient and consume less are swamped and irrelevant.","Yes , America needs to get its house in order . Our population is growing by about million per decade ! Just about all of the population growth results from immigration . So let us reduce immigration and also focus on reducing consumption . Without reduced immigration all our environmental efforts to be more efficient and consume less are swamped and irrelevant .",immigration,Policy & Governance,let us reduce immigration,HATE,let us reduce immigration,NEUTRAL,0.000824,1,1,accepted,,2026-05-22T09:05:39.940508
6,VAST,,"I am a NYC teacher who has taught in public, charter and now private school. My two children attend a gifted and talented public school and private school. I would never send my child to a charter school. Why? Because they will never learn how to be creative, independent and self reliant. Some of my best students have defied me in their writing, their words and their actions, albeit respectfully. In a Charter environment that is grounds for reprimand, suspension and expulsion. Any parent reading this should support local public schools and fight for more G&T programs and AP programs. Supporting Public School is the only way to ensure that we have a strong active middle class. If you do not believe me name any politician, middle management executive or faculty member whose children attend a Charter School. I rest my case.","I am a NYC teacher who has taught in public , charter and now private school . My two children attend a gifted and talented public school and private school . I would never send my child to a charter school . Why ? Because they will never learn how to be creative , independent and self reliant . Some of my best students have defied me in their writing , their words and their actions , albeit respectfully . In a Charter environment that is grounds for reprimand , suspension and expulsion . Any parent reading this should support local public schools and fight for more G & T programs and AP programs . Supporting Public School is the only way to ensure that we have a strong active middle class . If you do not believe me name any politician , middle management executive or faculty member whose children attend a Charter School . I rest my case .",Charter School,Policy & Governance,"they will never learn how to be creative , independent and self reliant",HATE,"they will never learn how to be creative , independent and self reliant",HOPEFUL,0.000942,1,1,accepted,,2026-05-22T09:06:21.265942
7,VAST,,"It would appear that the Republicans are saying since the public school system has failed its students, the solution is to let these same students teach their own children, rather than send them to public school. With what training will they be able to accomplish this task? As a college professor, I am routinely appalled at the writing ability and general innumeracy of my otherwise bright students. Public education needs stronger support; a tax break for home schooling solves nothing. How can we train twenty parents to do a better job than one professional?","It would appear that the Republicans are saying since the public school system has failed its students , the solution is to let these same students teach their own children , rather than send them to public school . With what training will they be able to accomplish this task ? As a college professor , I am routinely appalled at the writing ability and general innumeracy of my otherwise bright students . Public education needs stronger support ; a tax break for home schooling solves nothing . How can we train twenty parents to do a better job than one professional ?",Public education,Policy & Governance,Public education needs stronger support,HOPEFUL,Public education needs stronger support,HATE,0.000863,1,1,accepted,,2026-05-22T09:06:22.988446
8,PStance,,Sanders is Jewish when he wants their vote a man that lost family in the Holocaust should understand and support Israel instead of punishing it. He wants Palestinian State when they have turned down every peace offer. Omar &amp; Tlaib support BDS who want the DESTRUCTION of Israel.,Sanders is Jewish when he wants their vote a man that lost family in the Holocaust should understand and support Israel instead of punishing it . He wants Palestinian State when they have turned down every peace offer . Omar & Tlaib support BDS who want the DESTRUCTION of Israel .,Israel,Policy & Governance,punishing it,HATE,punishing it,HATE,0.000812,1,1,accepted,,2026-05-22T09:06:24.257018
9,VAST,,"First these students in low income poverty neighborhoods destroyed their public schools because of violence and refusing to learn and disruptive behavior. They thought that Charter Schools were the solution and like taking residents from these neighborhoods and relocating them at taxpayer expense to better neighborhoods (mostly white) they would change their behavior. It didn't work and it couldn't work and it will never work. Look at St. Louis, MO and their experiment with their dilapidated, violent housing projects when the Clinton administration gave them housing vouchers to move to white neighborhoods like Ferguson and see what happened. Good for the Charter Schools for expelling these trouble makers unless we're prepared to threaten the parent with loss of Food Stamps, Title 8 Housing, Medicaid and other entitlements nothing is going to ever change. 'It's not the schools. It's not the teachers. It's the parent whose responsible because they never had to be responsible before in their life. Everyone is afraid or too embarrassed to say the truth.","First these students in low income poverty neighborhoods destroyed their public schools because of violence and refusing to learn and disruptive behavior . They thought that Charter Schools were the solution and like taking residents from these neighborhoods and relocating them at taxpayer expense to better neighborhoods ( mostly white ) they would change their behavior . It did not work and it could not work and it will never work . Look at St . Louis , MO and their experiment with their dilapidated , violent housing projects when the Clinton administration gave them housing vouchers to move to white neighborhoods like Ferguson and see what happened . Good for the Charter Schools for expelling these trouble makers unless we are prepared to threaten the parent with loss of Food Stamps , Title Housing , Medicaid and other entitlements nothing is going to ever change . ' It ' s not the schools . It ' s not the teachers . It ' s the parent whose responsible because they never had to be responsible before in their life . Everyone is afraid or too embarrassed to say the truth .",Charter Schools,Policy & Governance,It did not work and it could not work and it will never work,HATE,It did not work and it could not work and it will never work,HATE,0.000972,1,1,accepted,,2026-05-22T09:06:25.804961
10,SemEval2016,,Saw a bit of @USER 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks! SemST,Saw a bit of ' s speech & I was proud to hear her plans for policy improvements in our justice system . Thanks ! SemST,policy improvements in our justice system,Policy & Governance,I was proud to hear her plans,HOPEFUL,I was proud to hear her plans,HOPEFUL,0.000818,1,1,accepted,,2026-05-22T09:06:28.223736
